"Gender Inequality Index (GII)"
"159","Mauritania","0.808"," a","0.755","..","..","..","0.656","..","0.652","..","0.647","..","..","..","0.631","..","0.627","..","0.624","..","0.617",".."
"65","Mauritius","0.479"," a","0.452","..","0.369","..","0.375","..","0.363","..","0.364","..","0.359","..","0.353","..","0.376","..","0.374","..","0.373",".."
"74","Mexico","0.508"," a","0.492","..","0.430","..","0.399","..","0.390","..","0.367","..","0.363","..","0.358","..","0.348","..","0.344","..","0.343",".."
"112","Moldova (Republic of)","0.479"," a","0.420","..","0.295","..","0.283","..","0.255","..","0.255","..","0.248","..","0.253","..","0.234","..","0.228","..","0.226",".."
"92","Mongolia","0.501"," a","0.452","..","0.412","..","0.419","..","0.414","..","0.323","..","0.319","..","0.316","..","0.316","..","0.301","..","0.301",".."
"50","Montenegro","..","..","..","..","..","..","0.205","..","0.193","..","0.168","..","0.169","..","0.160","..","0.156","..","0.133","..","0.132",".."
"123","Morocco","0.720"," a","0.704","..","0.586","..","0.566","..","0.534","..","0.530","..","0.525","..","0.520","..","0.497","..","0.483","..","0.482",".."
"180","Mozambique","..","..","0.635","..","0.625","..","0.600","..","0.591","..","0.582","..","0.573","..","..","..","0.560","..","0.552","..","0.552",".."
"148","Myanmar","..","..","..","..","..","..","0.515","..","0.532","..","0.506","..","0.504","..","0.506","..","0.442","..","0.455","..","0.456",".."
"129","Namibia","0.555"," a","0.546","..","0.526","..","0.512","..","0.510","..","0.505","..","0.500","..","..","..","0.473","..","0.472","..","0.472",".."
"149","Nepal","0.709"," a","0.668","..","0.652","..","0.526","..","0.516","..","0.507","..","..","..","0.496","..","0.488","..","0.481","..","0.480",".."
"10","Netherlands","0.114"," a","0.096","..","0.083","..","0.050","..","0.047","..","0.047","..","0.046","..","0.046","..","0.045","..","0.043","..","0.044",".."
"16","New Zealand","0.222"," a","0.190","..","0.188","..","0.177","..","0.170","..","0.167","..","0.163","..","0.158","..","0.152","..","0.146","..","0.136",".."
"124","Nicaragua","0.629"," a","0.605","..","0.542","..","0.518","..","0.477","..","0.479","..","0.475","..","0.468","..","0.465","..","0.456","..","0.456",".."
"189","Niger","0.801"," a","0.797","..","0.702","..","..","..","0.682","..","0.678","..","0.673","..","0.668","..","0.666","..","0.658","..","0.649",".."
"1","Norway","0.121"," a","0.108","..","0.085","..","0.065","..","0.062","..","0.060","..","0.057","..","0.054","..","0.052","..","0.050","..","0.048",".."
"48","Oman","..","..","..","..","0.389","..","0.311","..","0.300","..","0.293","..","0.286","..","0.281","..","0.280","..","0.264","..","0.264",".."
"150","Pakistan","0.766"," a","..","..","0.595","..","0.575","..","0.574","..","0.560","..","0.559","..","0.553","..","0.547","..","0.543","..","0.541",".."
"66","Panama","0.521"," a","0.507","..","0.475","..","0.519","..","0.522","..","0.518","..","0.513","..","0.466","..","0.465","..","0.461","..","0.461",".."
"153","Papua New Guinea","0.673"," a","0.666","..","0.682","..","0.665","..","0.661","..","0.604","..","0.601","..","0.597","..","0.595","..","0.591","..","0.741",".."
"110","Paraguay","0.572"," a","0.550","..","0.536","..","0.498","..","0.494","..","0.484","..","0.464","..","0.468","..","0.466","..","0.465","..","0.467",".."
"89","Peru","0.546"," a","..","..","0.450","..","0.400","..","0.407","..","0.396","..","0.391","..","0.387","..","0.385","..","0.368","..","0.368",".."
"113","Philippines","0.482"," a","0.477","..","0.467","..","0.451","..","0.448","..","0.448","..","0.435","..","0.432","..","0.431","..","0.428","..","0.427",".."
"33","Poland","0.258"," a","0.205","..","0.164","..","0.167","..","0.152","..","0.150","..","0.149","..","0.146","..","0.138","..","0.134","..","0.132",".."
